Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 0.000000E+0 3.700000E+1 2.444158E+1 2.425393E+1 2.439375E+1 -1.000000E+0 2.100879E+1 0.00773689047506931  
 1.000000E+0 3.700000E+1 2.445938E+1 2.423127E+1 2.437844E+1 9.000000E+0 2.101924E+1 0.00941386893877213  
 2.000000E+0 3.700000E+1 2.527573E+1 2.425288E+1 2.439638E+1 9.000000E+0 2.101142E+1 0.0421743726930574  
 3.000000E+0 3.700000E+1 2.599273E+1 2.424875E+1 2.439224E+1 9.000000E+0 2.099993E+1 0.0719204082684675  
 4.000000E+0 3.700000E+1 2.664719E+1 2.424093E+1 2.438810E+1 9.000000E+0 2.098107E+1 0.0992643434059667  
 5.000000E+0 3.700000E+1 2.725382E+1 2.425519E+1 2.438764E+1 9.000000E+0 2.099533E+1 0.12362838633711  
 6.000000E+0 3.700000E+1 2.782365E+1 2.428417E+1 2.438351E+1 9.000000E+0 2.099855E+1 0.145752562265871  
 7.000000E+0 3.700000E+1 2.838247E+1 2.432420E+1 2.438675E+1 9.000000E+0 2.098708E+1 0.166840841630968  
 8.000000E+0 3.700000E+1 2.892639E+1 2.436774E+1 2.438246E+1 9.000000E+0 2.100118E+1 0.187077258703515  
 9.000000E+0 3.700000E+1 2.945208E+1 2.444087E+1 2.438200E+1 9.000000E+0 2.100072E+1 0.205034027021133  
 1.000100E+1 3.700000E+1 2.997776E+1 2.451768E+1 2.438890E+1 9.000000E+0 2.101131E+1 0.22269970078735  
 1.100000E+1 3.700000E+1 3.047301E+1 2.461656E+1 2.440316E+1 9.000000E+0 2.099245E+1 0.237906921194513  
 1.200000E+1 3.700000E+1 3.094983E+1 2.469337E+1 2.438063E+1 9.000000E+0 2.097728E+1 0.253365984472755  
 1.300000E+1 3.700000E+1 3.144110E+1 2.481787E+1 2.438372E+1 9.000000E+0 2.098772E+1 0.266873426285173  
 1.400000E+1 3.700000E+1 3.192915E+1 2.493914E+1 2.440196E+1 9.000000E+0 2.098757E+1 0.280282720254187  
 1.500000E+1 3.700000E+1 3.239489E+1 2.506362E+1 2.440503E+1 9.000000E+0 2.097224E+1 0.292506429637857  
 1.600000E+1 3.700000E+1 3.287156E+1 2.520283E+1 2.439338E+1 9.000000E+0 2.097899E+1 0.304280511355273  
 1.700000E+1 3.700000E+1 3.333016E+1 2.534954E+1 2.440028E+1 9.000000E+0 2.098589E+1 0.314823069767735  
 1.800000E+1 3.700000E+1 3.376691E+1 2.548154E+1 2.438511E+1 9.000000E+0 2.096704E+1 0.32515185502917  
