Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 4.469000E+3 3.700000E+1 3.701075E+1 3.589590E+1 3.307962E+1 2.615508E+0 2.196176E+1 0.00740767042518412  
 4.470000E+3 3.700000E+1 3.698890E+1 3.589590E+1 3.305776E+1 2.601562E+0 2.195808E+1 0.00734055877476448  
 4.471000E+3 3.700000E+1 3.699982E+1 3.589590E+1 3.307233E+1 2.627933E+0 2.196176E+1 0.00726584859293651  
 4.472000E+3 3.700000E+1 3.698525E+1 3.587404E+1 3.306869E+1 2.613745E+0 2.195440E+1 0.00739344812659366  
 4.473000E+3 3.700000E+1 3.697797E+1 3.588133E+1 3.305776E+1 2.632505E+0 2.193232E+1 0.00719288294008429  
 4.474000E+3 3.700000E+1 3.700347E+1 3.589226E+1 3.306140E+1 2.641511E+0 2.195072E+1 0.00723883392608509  
 4.475000E+3 3.700000E+1 3.700347E+1 3.589226E+1 3.307597E+1 2.612341E+0 2.195808E+1 0.00740139746447699  
 4.476000E+3 3.700000E+1 3.698890E+1 3.588497E+1 3.306140E+1 2.614506E+0 2.196176E+1 0.00734073538717922  
 4.477000E+3 3.700000E+1 3.699254E+1 3.588861E+1 3.306869E+1 2.631773E+0 2.194704E+1 0.00724472659923639  
 4.478000E+3 3.700000E+1 3.699982E+1 3.588861E+1 3.306504E+1 2.627138E+0 2.195440E+1 0.00731825751959215  
 4.479000E+3 3.700000E+1 3.700360E+1 3.589239E+1 3.307246E+1 2.619507E+0 2.195821E+1 0.00736095789511415  
 4.480000E+3 3.700000E+1 3.699618E+1 3.587404E+1 3.305412E+1 2.615676E+0 2.195440E+1 0.00745515140125725  
 4.481000E+3 3.700000E+1 3.700360E+1 3.587782E+1 3.306153E+1 2.624644E+0 2.195085E+1 0.00742831031326756  
 4.482000E+3 3.700000E+1 3.700360E+1 3.588511E+1 3.306882E+1 2.615336E+0 2.195453E+1 0.00743283412516638  
 4.483000E+3 3.700000E+1 3.699996E+1 3.587782E+1 3.306518E+1 2.615678E+0 2.195085E+1 0.00745514000054424  
 4.484000E+3 3.700000E+1 3.700360E+1 3.588875E+1 3.307611E+1 2.619694E+0 2.196557E+1 0.00738401595698622  
 4.485000E+3 3.700000E+1 3.701089E+1 3.589603E+1 3.308339E+1 2.614917E+0 2.197293E+1 0.00741108570902464  
 4.486000E+3 3.700000E+1 3.699632E+1 3.588511E+1 3.307246E+1 2.606061E+0 2.196557E+1 0.00743711173210072  
 4.487000E+3 3.700000E+1 3.699996E+1 3.589603E+1 3.308704E+1 2.623228E+0 2.196557E+1 0.00729200195352969  
 4.488000E+3 3.700000E+1 3.700724E+1 3.587782E+1 3.307611E+1 2.617769E+0 2.196557E+1 0.00749152360679583  
 4.489000E+3 3.700000E+1 3.701453E+1 3.589603E+1 3.308704E+1 2.609313E+0 2.197293E+1 0.00746725447168236  
 4.490000E+3 3.700000E+1 3.701104E+1 3.589983E+1 3.308355E+1 2.600408E+0 2.196940E+1 0.0074694817986038  
 4.491000E+3 3.700000E+1 3.701469E+1 3.590347E+1 3.309447E+1 2.603754E+0 2.197676E+1 0.00745036360175071  
