Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 4.100000E+1 3.700000E+1 3.801294E+1 3.370289E+1 3.216541E+1 3.484005E+0 2.239619E+1 7.811734061218524  
 4.200000E+1 3.700000E+1 3.799866E+1 3.379792E+1 3.219486E+1 3.401895E+0 2.237810E+1 7.985583831342406  
 4.300000E+1 3.700000E+1 3.798060E+1 3.386366E+1 3.222780E+1 3.303730E+0 2.237825E+1 8.298280759514407  
 4.400000E+1 3.700000E+1 3.793688E+1 3.396202E+1 3.225331E+1 3.213221E+0 2.239664E+1 8.469608274781503  
 4.500000E+1 3.700000E+1 3.790060E+1 3.403504E+1 3.228261E+1 3.155404E+0 2.238944E+1 8.541323205753477  
 4.600000E+1 3.700000E+1 3.788618E+1 3.411170E+1 3.231190E+1 3.090876E+0 2.239695E+1 8.691938496288948  
 4.700000E+1 3.700000E+1 3.785718E+1 3.418472E+1 3.233756E+1 3.004649E+0 2.239710E+1 8.949365884840509  
 4.800000E+1 3.700000E+1 3.781741E+1 3.424696E+1 3.234879E+1 2.939859E+0 2.239005E+1 9.088508829678823  
 4.900000E+1 3.700000E+1 3.777733E+1 3.430890E+1 3.237065E+1 2.889890E+0 2.239741E+1 9.136776266064215  
 5.000000E+1 3.700000E+1 3.774849E+1 3.436749E+1 3.238552E+1 2.843628E+0 2.237564E+1 9.19861172938013  
 5.100000E+1 3.700000E+1 3.770477E+1 3.440757E+1 3.239281E+1 2.788182E+0 2.236828E+1 9.330947237890104  
 5.200000E+1 3.700000E+1 3.766484E+1 3.446236E+1 3.241118E+1 2.755083E+0 2.236843E+1 9.281960865332335  
 5.300000E+1 3.700000E+1 3.764313E+1 3.450624E+1 3.240769E+1 2.720757E+0 2.237226E+1 9.322716123325817  
 5.400000E+1 3.700000E+1 3.759956E+1 3.456104E+1 3.240419E+1 2.669186E+0 2.236138E+1 9.38268429348854  
 5.500000E+1 3.700000E+1 3.754142E+1 3.457576E+1 3.239706E+1 2.648326E+0 2.235417E+1 9.302531556028548  
 5.600000E+1 3.700000E+1 3.751242E+1 3.462328E+1 3.241542E+1 2.647765E+0 2.235432E+1 9.06634818639983  
 5.700000E+1 3.700000E+1 3.748341E+1 3.465255E+1 3.241556E+1 2.616910E+0 2.233974E+1 9.09417902175251  
 5.800000E+1 3.700000E+1 3.745442E+1 3.470007E+1 3.242300E+1 2.592214E+0 2.235093E+1 9.01778970127007  
 5.900000E+1 3.700000E+1 3.742178E+1 3.472572E+1 3.243772E+1 2.570712E+0 2.234005E+1 8.975225816537233  
 6.000000E+1 3.700000E+1 3.738914E+1 3.477688E+1 3.243787E+1 2.556856E+0 2.234756E+1 8.790762400728214  
 6.100000E+1 3.700000E+1 3.736378E+1 3.479889E+1 3.243803E+1 2.546252E+0 2.234771E+1 8.703394291462713  
 6.200000E+1 3.700000E+1 3.733494E+1 3.480284E+1 3.243468E+1 2.530460E+0 2.233330E+1 8.699706091837527  
 6.300000E+1 3.700000E+1 3.727316E+1 3.482121E+1 3.242390E+1 2.522440E+0 2.233713E+1 8.477984169084724  
 6.400000E+1 3.700000E+1 3.723672E+1 3.484671E+1 3.243483E+1 2.557166E+0 2.232609E+1 8.040898054981465  
 6.500000E+1 3.700000E+1 3.721866E+1 3.486143E+1 3.242405E+1 2.564763E+0 2.231520E+1 7.883701293092964  
 6.600000E+1 3.700000E+1 3.721532E+1 3.489817E+1 3.244622E+1 2.556693E+0 2.232655E+1 7.798654217131863  
 6.700000E+1 3.700000E+1 3.717904E+1 3.489832E+1 3.243908E+1 2.534639E+0 2.232302E+1 7.810204866126952  
 6.800000E+1 3.700000E+1 3.715368E+1 3.491669E+1 3.244652E+1 2.554321E+0 2.231950E+1 7.542855288084673  
 6.900000E+1 3.700000E+1 3.713562E+1 3.492777E+1 3.243574E+1 2.561505E+0 2.230493E+1 7.402899086463602  
 7.000000E+1 3.700000E+1 3.711391E+1 3.494978E+1 3.245411E+1 2.563770E+0 2.230876E+1 7.243490645622825  
 7.100000E+1 3.700000E+1 3.709220E+1 3.496450E+1 3.244697E+1 2.573192E+0 2.230524E+1 7.069499846203692  
 7.200000E+1 3.700000E+1 3.705227E+1 3.496465E+1 3.243255E+1 2.584657E+0 2.230171E+1 6.87493021765589  
 7.300000E+1 3.700000E+1 3.705620E+1 3.499044E+1 3.245105E+1 2.620599E+0 2.231671E+1 6.61761356052304  
 7.400000E+1 3.700000E+1 3.703798E+1 3.500137E+1 3.245105E+1 2.606036E+0 2.229832E+1 6.597353135259365  
 7.500000E+1 3.700000E+1 3.702356E+1 3.501245E+1 3.245120E+1 2.622250E+0 2.230583E+1 6.434433519969685  
 7.600000E+1 3.700000E+1 3.699821E+1 3.501625E+1 3.244407E+1 2.633671E+0 2.230230E+1 6.286291602909492  
 7.700000E+1 3.700000E+1 3.697286E+1 3.500183E+1 3.241507E+1 2.660316E+0 2.228774E+1 6.127022320144892  
 7.800000E+1 3.700000E+1 3.696587E+1 3.502763E+1 3.243359E+1 2.688684E+0 2.229172E+1 5.8986239153194635  
 7.900000E+1 3.700000E+1 3.695874E+1 3.503506E+1 3.244831E+1 2.697624E+0 2.228451E+1 5.81557521606906  
 8.000000E+1 3.700000E+1 3.694067E+1 3.504250E+1 3.243389E+1 2.709356E+0 2.228467E+1 5.688865144896418  
 8.100000E+1 3.700000E+1 3.693718E+1 3.504994E+1 3.243768E+1 2.735108E+0 2.228850E+1 5.550100586257935  
 8.200000E+1 3.700000E+1 3.693005E+1 3.505374E+1 3.243784E+1 2.744125E+0 2.229601E+1 5.48175338181898  
 8.300000E+1 3.700000E+1 3.691562E+1 3.505024E+1 3.243798E+1 2.759395E+0 2.227777E+1 5.389670942596811  
 8.400000E+1 3.700000E+1 3.691942E+1 3.506861E+1 3.244907E+1 2.783927E+0 2.228160E+1 5.253743093415008  
 8.500000E+1 3.700000E+1 3.690864E+1 3.507241E+1 3.244193E+1 2.787259E+0 2.227807E+1 5.199901373343969  
 8.600000E+1 3.700000E+1 3.689437E+1 3.506178E+1 3.244224E+1 2.809648E+0 2.226366E+1 5.107215291697713  
 8.700000E+1 3.700000E+1 3.690530E+1 3.508000E+1 3.245681E+1 2.836005E+0 2.228206E+1 4.992785982121949  
